,,0
cot_mean,elite_award_not_received,-0.20343217152397802
elite_award_not_received,cot_mean,-0.20343217152397802
elite_award_received,undergrad,-0.20262431901402506
undergrad,elite_award_received,-0.20262431901402506
cnt_mean,elite_award_not_received,-0.19746370252449286
elite_award_not_received,cnt_mean,-0.19746370252449286
elite_school,undergrad,-0.19523082522315205
undergrad,elite_school,-0.19523082522315205
Continent___North_America,Tier___4,-0.1951104733440118
Tier___4,Continent___North_America,-0.1951104733440118
Country___USA,Tier___4,-0.1951104733440118
Tier___4,Country___USA,-0.1951104733440118
Tier___3,Country___UK,-0.19312672038003525
Country___UK,Tier___3,-0.19312672038003525
grad,no_degree,-0.18871435573638803
no_degree,grad,-0.18871435573638803
Country___UK,Tier___4,-0.18821853630684013
Tier___4,Country___UK,-0.18821853630684013
Tier___3,Tier___4,-0.1864371426266957
Tier___4,Tier___3,-0.1864371426266957
elite_award_not_received,group_show,-0.1856335450381606
group_show,elite_award_not_received,-0.1856335450381606
private_inst,elite_school_NA,-0.18379256533920607
elite_school_NA,private_inst,-0.18379256533920607
Country___USA,Country___Austria,-0.18114610871003872
Continent___North_America,Country___Austria,-0.18114610871003872
Country___Austria,Country___USA,-0.18114610871003872
Country___Austria,Continent___North_America,-0.18114610871003872
edu_NA,private_inst,-0.17903694152616267
private_inst,edu_NA,-0.17903694152616267
degree_NA,private_inst,-0.17903694152616267
private_inst,degree_NA,-0.17903694152616267
max_price,elite_award_not_received,-0.17826421246098403
elite_award_not_received,max_price,-0.17826421246098403
elite_school_NA,solo_show,-0.17803265156487624
solo_show,elite_school_NA,-0.17803265156487624
edu_NA,solo_show,-0.17770400898238756
solo_show,edu_NA,-0.17770400898238756
degree_NA,solo_show,-0.17770400898238756
solo_show,degree_NA,-0.17770400898238756
Continent___Others,Tier___1,-0.1773469648553255
Tier___1,Continent___Others,-0.1773469648553255
Tier___2,Tier___4,-0.17528592426645878
Tier___4,Tier___2,-0.17528592426645878
elite_award_received,non_elite_school,-0.17175527660615786
non_elite_school,elite_award_received,-0.17175527660615786
Country___UK,Country___France,-0.1716074077206701
Country___France,Country___UK,-0.1716074077206701
Tier___4,estimate_range_usd,-0.16776382035448828
estimate_range_usd,Tier___4,-0.16776382035448828
Country___UK,age,-0.16683312463559216
age,Country___UK,-0.16683312463559216
private_inst,case_id,-0.16530766878697503
case_id,private_inst,-0.16530766878697503
log10_estimate_geo_mean_usd,Genre___Sculpture,-0.16431241553557197
Genre___Sculpture,log10_estimate_geo_mean_usd,-0.16431241553557197
estimate_max_usd,Genre___Others,-0.1637116301046885
Genre___Others,estimate_max_usd,-0.1637116301046885
Country___UK,Country___Others,-0.16360025483447568
Country___Others,Country___UK,-0.16360025483447568
estimate_center_usd,Genre___Others,-0.16344586891252355
Genre___Others,estimate_center_usd,-0.16344586891252355
Genre___Others,estimate_min_usd,-0.16275209728840595
estimate_min_usd,Genre___Others,-0.16275209728840595
artwork_order,case_id,-0.16269330906998836
case_id,artwork_order,-0.16269330906998836
Tier___4,estimate_max_usd,-0.16237102822180377
estimate_max_usd,Tier___4,-0.16237102822180377
Genre___Sculpture,Tier___1,-0.16145600647049
Tier___1,Genre___Sculpture,-0.16145600647049
elite_school,no_degree,-0.1613075736418029
no_degree,elite_school,-0.1613075736418029
estimate_range_usd,Genre___Others,-0.16127374875621023
Genre___Others,estimate_range_usd,-0.16127374875621023
estimate_center_usd,Tier___4,-0.16078594413608577
Tier___4,estimate_center_usd,-0.16078594413608577
Genre___Photography,elite_school,-0.16029324212571475
elite_school,Genre___Photography,-0.16029324212571475
cot_max,elite_award_not_received,-0.1601312417987471
elite_award_not_received,cot_max,-0.1601312417987471
price_inch_prev_10_mean,elite_award_not_received,-0.15918923786028466
elite_award_not_received,price_inch_prev_10_mean,-0.15918923786028466
estimate_min_usd,Tier___4,-0.15826017268569545
Tier___4,estimate_min_usd,-0.15826017268569545
elite_award_not_received,cnt_max,-0.15395320205532326
cnt_max,elite_award_not_received,-0.15395320205532326
log10_estimate_geo_mean_usd,Tier___3,-0.15346240364603841
Tier___3,log10_estimate_geo_mean_usd,-0.15346240364603841
Continent___Europe,Continent___Others,-0.15295005082063795
Continent___Others,Continent___Europe,-0.15295005082063795
price_usd,Tier___4,-0.15281541177559654
Tier___4,price_usd,-0.15281541177559654
ranking,Genre___Others,-0.1524093962780529
Genre___Others,ranking,-0.1524093962780529
Genre___Others,price_usd,-0.1485642744635871
price_usd,Genre___Others,-0.1485642744635871
grad,elite_school_NA,-0.14824823820129968
elite_school_NA,grad,-0.14824823820129968
ranking,fest_biennal,-0.14813715191837162
fest_biennal,ranking,-0.14813715191837162
Genre___Others,Continent___Europe,-0.1463633652285108
Continent___Europe,Genre___Others,-0.1463633652285108
Genre___Print,private_inst,-0.1462435098581705
private_inst,Genre___Print,-0.1462435098581705
gender_female,age,-0.1460141204496627
age,gender_female,-0.1460141204496627
edu_NA,grad,-0.14578766454998046
grad,degree_NA,-0.14578766454998046
grad,edu_NA,-0.14578766454998046
degree_NA,grad,-0.14578766454998046
elite_award_not_received,price_inch_prev_7_mean,-0.14442055645545754
price_inch_prev_7_mean,elite_award_not_received,-0.14442055645545754
Continent___Others,Continent___North_America,-0.14329695190067426
Continent___North_America,Continent___Others,-0.14329695190067426
Continent___Others,Country___USA,-0.14329695190067426
Country___USA,Continent___Others,-0.14329695190067426
Genre___Photography,Country___USA,-0.14242923293711038
Country___USA,Genre___Photography,-0.14242923293711038
Genre___Photography,Continent___North_America,-0.14242923293711038
Continent___North_America,Genre___Photography,-0.14242923293711038
artwork_order,Genre___Photography,-0.1424013793508916
Genre___Photography,artwork_order,-0.1424013793508916
height,age,-0.14202817531973097
age,height,-0.14202817531973097
Tier___4,Genre___Print,-0.14186061990720236
Genre___Print,Tier___4,-0.14186061990720236
Continent___Europe,Genre___Print,-0.14073034016544195
Genre___Print,Continent___Europe,-0.14073034016544195
price_usd_prev_10_max,Genre___Print,-0.13965055235815582
Genre___Print,price_usd_prev_10_max,-0.13965055235815582
Tier___1,year,-0.13944794508361366
year,Tier___1,-0.13944794508361366
Country___UK,Country___Germany,-0.13655139236710395
Country___Germany,Country___UK,-0.13655139236710395
width,age,-0.13619348031167522
age,width,-0.13619348031167522
Country___Swiss,Tier___1,-0.13617352443997066
Tier___1,Country___Swiss,-0.13617352443997066
medianprice_year,elite_award_not_received,-0.13561242006798957
elite_award_not_received,medianprice_year,-0.13561242006798957
height,medianprice_year,-0.13497496021440808
medianprice_year,height,-0.13497496021440808
elite_award_not_received,price_usd_prev_10_max,-0.13369704369215446
price_usd_prev_10_max,elite_award_not_received,-0.13369704369215446
Tier___1,Country___Dutch,-0.13308594651819072
Country___Dutch,Tier___1,-0.13308594651819072
elite_award_not_received,price_inch_prev_5_mean,-0.1307649597951746
price_inch_prev_5_mean,elite_award_not_received,-0.1307649597951746
Genre___Sculpture,Continent___North_America,-0.1299236625236057
Genre___Sculpture,Country___USA,-0.1299236625236057
Country___USA,Genre___Sculpture,-0.1299236625236057
Continent___North_America,Genre___Sculpture,-0.1299236625236057
group_show,Genre___Photography,-0.12952638465827554
Genre___Photography,group_show,-0.12952638465827554
edu_both,undergrad,-0.12898870832754816
undergrad,edu_both,-0.12898870832754816
Country___France,log10_estimate_geo_mean_usd,-0.1288897853312017
log10_estimate_geo_mean_usd,Country___France,-0.1288897853312017
edu_abroad,elite_award_received,-0.12823673650164638
elite_award_received,edu_abroad,-0.12823673650164638
Continent___East_Asia,Tier___1,-0.12772133337152164
Tier___1,Continent___East_Asia,-0.12772133337152164
width,medianprice_year,-0.1276431263266776
medianprice_year,width,-0.1276431263266776
elite_school_NA,elite_school,-0.12671830665790784
