,,0
year,year,1.0
year,height,-0.059803922123819735
year,width,-0.06568783157632563
year,case_id,0.0492515193621325
year,size_inchsqr,-0.011152084397858962
year,price_usd,0.05676141501972292
year,meanprice_year,0.08982481634441951
year,min_price,-0.03090645688785257
year,max_price,0.07137703362869073
year,medianprice_year,0.05087060226511448
year,cnt_mean,0.07200902266387148
year,cnt_max,0.057371823779219816
year,cnt_min,0.009520312213561283
year,cnt_median,0.05409948373426523
year,cot_mean,0.07500482163630667
year,cot_max,0.06261262181412475
year,cot_min,-0.004500827510339962
year,ranking,-0.02585539391810667
year,fest_biennal,0.0500908686468683
year,private_inst,0.17452421181289418
year,public_inst,0.16131938962011147
year,solo_show,0.05512947350795527
year,group_show,0.19828792017875466
year,age,0.2179616772794972
year,estimate_min_usd,0.04261319073028289
year,estimate_max_usd,0.04675541938314125
year,estimate_center_usd,0.04506143796323379
year,log10_estimate_geo_mean_usd,-0.012876775811898339
year,estimate_range_usd,0.055622824678959626
year,Country___Austria,-0.0011752072542768248
year,Country___China,0.06119227525123151
year,Country___Dutch,-0.0030270408782010557
year,Country___France,-0.011711821064141523
year,Country___Germany,0.07456720786833684
year,Country___Japan,0.006868238549710772
year,Country___Others,0.0784987115198734
year,Country___Swiss,0.02613907074842322
year,Country___UK,0.005934987009426264
year,Country___USA,-0.09362630018434633
year,Continent___East_Asia,0.06868981264254398
year,Continent___Europe,0.061067990396453206
year,Continent___North_America,-0.09362630018434633
year,Continent___Others,0.057932481544311513
year,Tier___1,-0.13944794508361366
year,Tier___2,-0.03447142678804647
year,Tier___3,0.0419476724872091
year,Tier___4,0.15900229958042636
year,Genre___Others,0.07915608531220972
year,Genre___Photography,-0.083633734994951
year,Genre___Print,0.02730882330490836
year,Genre___Sculpture,-0.013305515680853211
year,price_usd_prev_3_mean,0.08042905774107288
year,price_usd_prev_3_min,0.04132812571406351
year,price_usd_prev_3_max,0.08173384436929314
year,price_usd_prev_5_mean,0.09256871455304694
year,price_usd_prev_5_min,0.025483439447828986
year,price_usd_prev_5_max,0.09534697399628879
year,price_usd_prev_7_mean,0.10100514047592705
year,price_usd_prev_7_min,0.010198000705217957
year,price_usd_prev_7_max,0.10546357143258885
year,price_usd_prev_10_mean,0.11023607322002527
year,price_usd_prev_10_min,-0.009662648438035762
year,price_usd_prev_10_max,0.11720813577127495
year,price_inch_prev_3_mean,0.041998336052210664
year,price_inch_prev_3_min,0.033445633401795974
year,price_inch_prev_3_max,0.03512463898999274
year,price_inch_prev_5_mean,0.051865587031615916
year,price_inch_prev_5_min,0.014555755096632093
year,price_inch_prev_5_max,0.041433436538759486
year,price_inch_prev_7_mean,0.05876963289933235
year,price_inch_prev_7_min,-0.002902884829217433
year,price_inch_prev_7_max,0.04538265064011481
year,price_inch_prev_10_mean,0.06647655751689803
year,price_inch_prev_10_min,-0.02497101110460543
year,price_inch_prev_10_max,0.04918333785217471
year,price_same_size_prev_3_min,0.0006149453455710909
year,price_same_size_prev_3_max,0.004346085004143507
year,price_same_size_prev_3_mean,0.004911148769826825
year,price_same_size_prev_5_min,-0.0033349778592670597
year,price_same_size_prev_5_max,0.001226757026493481
year,price_same_size_prev_5_mean,0.0016341517701540945
year,price_same_size_prev_7_min,-0.01575062884557382
year,price_same_size_prev_7_max,0.002487619950700686
year,price_same_size_prev_7_mean,0.0018550731622691311
year,price_same_size_prev_10_min,-0.027072803553385975
year,price_same_size_prev_10_max,0.0034124020196751636
year,price_same_size_prev_10_mean,0.0024067139363788408
year,artwork_order,0.33498990025404957
year,gender_NA,0.007439430076006572
year,gender_female,0.015016734793098696
year,gender_male,-0.015451578236057261
year,edu_NA,0.020050328006056408
year,edu_abroad,-0.007002098833815621
year,edu_both,0.04035318816028721
year,edu_domestic,-0.03781377446622389
year,degree_NA,0.020050328006056408
year,grad,0.015134802993659623
year,no_degree,0.01897475773714673
year,undergrad,-0.03406766525948689
year,elite_school,-0.027760224526470978
year,elite_school_NA,0.01992788319191703
year,non_elite_school,0.014845193970962964
year,elite_award_not_received,-0.04399127490864055
year,elite_award_received,0.04399127490864055
height,year,-0.059803922123819735
height,height,1.0
height,width,0.7752649916492087
height,case_id,-0.027105140614981482
height,size_inchsqr,0.4811630591445588
height,price_usd,0.24595500724505076
height,meanprice_year,-0.12029167052041541
height,min_price,-0.07664628546121036
height,max_price,-0.04045901697602901
height,medianprice_year,-0.13497496021440808
height,cnt_mean,-0.11107069345620955
height,cnt_max,-0.03275217097214411
height,cnt_min,-0.08241368254001676
height,cnt_median,-0.12335595867510081
height,cot_mean,-0.11105774860322479
height,cot_max,-0.035066663124886516
height,cot_min,-0.06813241829335717
height,ranking,0.02515078801534031
height,fest_biennal,-0.035781459029095054
height,private_inst,-0.01949143208136096
height,public_inst,-0.06167832528152714
height,solo_show,-0.017011763287664808
height,group_show,-0.037865550570521905
height,age,-0.14202817531973097
height,estimate_min_usd,0.2810409760913632
height,estimate_max_usd,0.2815993965450266
height,estimate_center_usd,0.28159907847831617
height,log10_estimate_geo_mean_usd,0.385869073392081
height,estimate_range_usd,0.27470600309772436
height,Country___Austria,-0.01936168094100855
height,Country___China,0.003156324251099766
height,Country___Dutch,-0.011905033589117398
height,Country___France,-0.01991908322137157
height,Country___Germany,-0.03771094503287236
height,Country___Japan,-0.010057295317131284
height,Country___Others,-0.055469391959370895
height,Country___Swiss,-0.03445046100955607
height,Country___UK,0.06789723818808285
height,Country___USA,0.019016483144928733
height,Continent___East_Asia,-0.0033571386231963643
height,Continent___Europe,-0.009526006542332351
height,Continent___North_America,0.019016483144928733
height,Continent___Others,-0.029086065957614773
height,Tier___1,0.14813712898184542
height,Tier___2,-0.03412581727325166
height,Tier___3,-0.046992423376742684
height,Tier___4,-0.11681141122326621
height,Genre___Others,0.01561080985154439
height,Genre___Photography,0.23394391536971887
height,Genre___Print,-0.061405202741378694
height,Genre___Sculpture,-0.21808350274686475
height,price_usd_prev_3_mean,0.06409195231378723
height,price_usd_prev_3_min,0.07084373595012076
height,price_usd_prev_3_max,0.04894194908743478
